NT	OT
Jhn 8:12	Psa 18:28
Jhn 8:12	Psa 27:1
Jhn 8:12	Psa 36:9
Jhn 8:32	Isa 61:1
Jhn 8:43	Isa 44:18
Jhn 8:54	Isa 41:10
Jhn 8:58	Exo 3:14
Jhn 9:31	Pro 15:29
Jhn 9:4	Psa 90:12
Luk 10:19	Eze 2:6
Luk 10:19	Isa 11:8
Luk 10:19	Psa 91:13
Luk 10:27	Deu 30:6
Luk 10:27	Deu 6:5
Luk 10:27	Lev 19:18
Luk 10:28	Lev 18:5
Luk 11:28	Deu 11:27
Luk 11:28	Deu 28:1
Luk 11:28	Jos 1:8
Luk 11:28	Psa 112:1
Luk 11:28	Psa 119:1
Luk 11:28	Psa 1:1
Luk 11:42	Mic 6:8
Luk 11:9	Isa 55:6
Luk 11:9	Jer 29:12
Luk 11:9	Jer 29:13
Luk 11:9	Jer 33:3
Luk 11:9	Psa 105:3
Luk 11:9	Psa 118:5
Luk 11:9	Psa 27:8
Luk 11:9	Psa 34:10
Luk 11:9	Psa 34:4
Luk 11:9	Psa 50:15
Luk 12:12	Jer 1:9
Luk 12:22	Pro 16:3
Luk 12:30	Psa 23:1
Luk 12:32	Deu 31:6
Luk 13:35	Psa 118:26
Luk 14:11	Pro 29:23
Luk 16:15	1Sa 16:7
Luk 16:15	Isa 5:20
Luk 18:1	Isa 40:31
Luk 18:1	Psa 55:16
Luk 18:14	Pro 29:23
Luk 18:20	Exo 20:12
Luk 19:10	Eze 34:16
Luk 19:46	Isa 56:7
Luk 19:46	Jer 7:11
Luk 1:13	Isa 41:10
Luk 1:16	Isa 40:3
Luk 1:17	Mal 4:5,6
Luk 1:30	Isa 41:10
Luk 1:32	Psa 132:11
Luk 1:37	Gen 18:14
Luk 1:37	Jer 32:17
Luk 1:37	Jer 32:27
Luk 1:37	Num 11:23
Luk 1:50	Lam 3:22
Luk 1:55	Gen 22:18
Luk 1:73	Gen 22:16
Luk 1:76	Isa 40:3
Luk 1:79	Isa 9:2
Luk 1:79	Psa 23:4
Luk 20:17	Isa 28:16
Luk 20:17	Psa 118:22
Luk 20:17	Psa 118:22,23
Luk 20:28	Deu 25:5
Luk 20:37	Exo 3:6
Luk 20:42	Psa 110:1
Luk 20:42,43	Psa 110:1
Luk 21:15	Isa 50:4
Luk 21:15	Jer 1:9
Luk 21:27	Dan 7:13
Luk 21:33	Num 23:19
Luk 22:32	1Sa 23:16
Luk 22:37	Isa 53:12
Luk 22:43	1Sa 23:16
Luk 23:30	Hos 10:8
Luk 23:43	Psa 50:15
Luk 23:46	Psa 31:5
Luk 2:10	Isa 41:10
Luk 2:11	Isa 9:6
Luk 2:23	Exo 13:2
Luk 2:24	Lev 12:8
Luk 2:34	Isa 8:14,15
Luk 2:52	Pro 3:3
Luk 3:4	Isa 43:19
Luk 3:4,5,6	Isa 40:3,4,5
Luk 4:10	Psa 91:11
Luk 4:10,11	Psa 91:11,12
Luk 4:12	Deu 6:16
Luk 4:18	Isa 42:7
Luk 4:18	Isa 61:1
Luk 4:18	Psa 146:7
Luk 4:18,19	Isa 61:1,2
Luk 4:4	Deu 8:3
Luk 4:8	1Sa 7:3
Luk 4:8	Deu 6:13
Luk 6:36	Mic 6:8
Luk 6:38	Deu 15:10
Luk 6:38	Pro 3:9
Luk 6:45	Pro 4:23
Luk 6:46	Mal 1:6
Luk 7:20	Isa 35:5
Luk 7:22	Isa 35:5
Luk 7:22	Isa 61:1
Luk 7:27	Mal 3:1
Luk 8:10	Isa 6:9
Mar 10:19	Exo 20:12
Mar 10:27	Gen 18:14
Mar 10:27	Jer 32:27
Mar 10:27	Job 42:2
Mar 10:4	Deu 24:1
Mar 10:6	Gen 1:27
Mar 10:6	Gen 2:24
Mar 10:7	Gen 2:24
Mar 11:17	Isa 56:7
Mar 11:17	Jer 7:11
Mar 11:23	Psa 37:4
Mar 11:24	Isa 65:24
Mar 11:9	Psa 118:26
Mar 12:1	Isa 5:1
Mar 12:10	Isa 28:16
Mar 12:10,11	Psa 118:22,23
Mar 12:19	Deu 25:5
Mar 12:26	Exo 3:6
Mar 12:29	Deu 6:4
Mar 12:29,30	Deu 6:4,5
Mar 12:30	Deu 6:5
Mar 12:31	Lev 19:18
Mar 12:33	1Sa 15:22
Mar 12:35	Psa 110:1
Mar 12:36	Psa 110:1
Mar 13:14	Dan 9:27
Mar 13:19	Gen 1:1
Mar 13:24	Isa 13:9,10
Mar 13:31	Isa 40:8
Mar 14:27	Zec 13:7
