NT	OT
Eph.5.8	Isa.9.2
Eph.6.1	Exod.20.12
Eph.6.10	1Sam.23.16
Eph.6.10	Deut.20.3
Eph.6.10	Deut.31.6
Eph.6.10	Isa.40.28
Eph.6.10	Isa.40.31
Eph.6.10	Josh.1.9
Eph.6.13	Ps.1.1
Eph.6.14	Isa.11.5
Eph.6.14	Isa.59.17
Eph.6.15	Isa.52.7
Eph.6.2	Exod.20.12
Eph.6.3	Deut.5.16
Eph.6.4	Deut.4.9
Eph.6.4	Prov.22.6
Gal.1.15	Jer.1.5
Gal.3.10	Deut.27.26
Gal.3.13	Deut.21.23
Gal.3.6	Gen.15.6
Gal.4.4	Gen.3.15
Gal.4.6	Hos.1.10
Gal.5.22	Ps.1.3
Gal.6.10	Prov.3.27
Gal.6.7	Hos.10.12
Gal.6.7	Job.4.8
Gal.6.7	Prov.11.18
Gal.6.9	Deut.11.14
Gal.6.9	Isa.40.30
Gal.6.9	Isa.40.31
Gal.6.9	Lev.26.4
Gal.6.9	Ps.145.15
Heb.1.10	Gen.1.1
Heb.1.13	Ps.110.1
Heb.1.2	Gen.1.1
Heb.1.3	Ps.110.1
Heb.1.5	Ps.2.7
Heb.1.8	Ps.45.6
Heb.10.12	Ps.110.1
Heb.10.14	Isa.53.5
Heb.10.16	Isa.59.21
Heb.10.16	Jer.31.31
Heb.10.16	Jer.31.33
Heb.10.17	Isa.43.25
Heb.10.22	Ezek.36.25
Heb.10.23	Deut.7.9
Heb.10.23	Lam.3.23
Heb.10.24	Prov.27.17
Heb.10.36	Hab.2.3
Heb.10.36	Isa.8.17
Heb.10.36	Ps.37.7
Heb.10.38	1Chr.28.9
Heb.10.38	Ezra.8.22
Heb.10.38	Hab.2.4
Heb.10.4	1Sam.15.22
Heb.10.7	Ps.40.7
Heb.11.1	Ps.27.13
Heb.11.1	Ps.42.11
Heb.11.3	Gen.1.1
Heb.11.6	1Chr.28.9
Heb.11.6	Jer.29.13
Heb.11.6	Prov.8.17
Heb.11.6	Ps.105.3
Heb.11.6	Ps.119.10
Heb.11.8	Gen.12.1
Heb.12.1	Isa.40.31
Heb.12.12	1Sam.23.16
Heb.12.13	Zeph.3.19
Heb.12.14	Ps.34.14
Heb.12.15	Prov.4.23
Heb.12.2	Mic.7.7
Heb.12.3	Isa.40.31
Heb.12.5	Prov.3.11
Heb.13.1	Ps.133.1
Heb.13.20	Ps.23.1
Heb.13.4	Gen.2.24
Heb.13.5	1Chr.28.20
Heb.13.5	1Sam.12.22
Heb.13.5	Deut.31.6
Heb.13.5	Deut.31.8
Heb.13.5	Gen.28.15
Heb.13.5	Isa.41.10
Heb.13.5	Isa.41.17
Heb.13.5	Josh.1.5
Heb.13.5	Ps.23.1
Heb.13.5	Ps.37.25
Heb.13.6	Dan.3.16
Heb.13.6	Deut.33.26
Heb.13.6	Deut.33.29
Heb.13.6	Exod.18.4
Heb.13.6	Gen.15.1
Heb.13.6	Isa.41.10
Heb.13.6	Isa.41.14
Heb.13.6	Ps.115.9
Heb.13.6	Ps.118.6
Heb.13.6	Ps.121.2
Heb.13.6	Ps.124.8
Heb.13.6	Ps.146.3
Heb.13.6	Ps.18.1
Heb.13.6	Ps.27.1
Heb.13.6	Ps.27.9
Heb.13.6	Ps.33.20
Heb.13.6	Ps.40.17
Heb.13.6	Ps.54.4
Heb.13.6	Ps.56.11
Heb.13.6	Ps.56.4
Heb.13.6	Ps.63.7
Heb.13.6	Ps.94.17
Heb.13.8	Exod.3.14
Heb.13.8	Isa.44.6
Heb.13.8	Mal.3.6
Heb.13.8	Ps.102.27
Heb.13.8	Ps.90.2
Heb.2.14	Gen.3.15
Heb.2.6	Ps.8.4
Heb.3.12	Jer.17.9
Heb.3.4	Gen.1.1
Heb.3.7	Isa.55.3
Heb.3.7	Ps.81.13
Heb.3.7	Ps.95.7
Heb.4.12	Isa.49.2
Heb.4.12	Isa.55.11
Heb.4.12	Jer.17.10
Heb.4.12	Jer.23.29
Heb.4.12	Ps.119.130
Heb.4.12	Ps.149.6
Heb.4.13	Ps.139.1
Heb.4.16	Isa.55.6
Heb.5.5	Ps.2.7
Heb.5.7	Ps.34.4
Heb.5.9	Isa.45.17
Heb.6.18	Num.23.19
Heb.6.4	Ps.34.8
Heb.7.25	Zeph.3.17
Heb.8.10	Deut.30.6
Heb.8.10	Exod.19.5
Heb.8.10	Ezek.11.19
